,Date,Outward,Return
311,2020-11-21 00:00:00,44307,29410
312,2020-11-22 00:00:00,34185,61583
313,2020-11-23 00:00:00,41921,35360
314,2020-11-24 00:00:00,34315,28695
315,2020-11-25 00:00:00,34028,28800
316,2020-11-26 00:00:00,34520,29408
317,2020-11-27 00:00:00,32006,29378
318,2020-11-28 00:00:00,36950,29470
319,2020-11-29 00:00:00,34028,65230
320,2020-11-30 00:00:00,43635,29352
321,2020-12-01 00:00:00,37399,30300
322,2020-12-02 00:00:00,41570,30300
323,2020-12-03 00:00:00,50263,30321
324,2020-12-04 00:00:00,61871,49716
325,2020-12-05 00:00:00,50152,29617
326,2020-12-06 00:00:00,37386,29617
327,2020-12-07 00:00:00,,30018
328,2020-12-08 00:00:00,37365,30310
329,2020-12-09 00:00:00,41921,30300
330,2020-12-10 00:00:00,50158,30300
331,2020-12-11 00:00:00,32006,29967
332,2020-12-12 00:00:00,44307,30300
333,2020-12-13 00:00:00,34315,49418
334,2020-12-14 00:00:00,45083,49491
335,2020-12-15 00:00:00,34765,49491
336,2020-12-16 00:00:00,45357,31849
337,2020-12-17 00:00:00,44571,49491
338,2020-12-18 00:00:00,35674,53027
339,2020-12-19 00:00:00,44307,53027
340,2020-12-20 00:00:00,35637,53045
341,2020-12-21 00:00:00,42974,49525
342,2020-12-22 00:00:00,35414,31739
343,2020-12-23 00:00:00,45020,31849
344,2020-12-24 00:00:00,46578,35129
345,2020-12-25 00:00:00,35383,30203
346,2020-12-26 00:00:00,38284,30321
347,2020-12-27 00:00:00,,
348,2020-12-28 00:00:00,55725,31741
349,2020-12-29 00:00:00,55938,
350,2020-12-30 00:00:00,,
351,2020-12-31 00:00:00,,
352,2021-01-01 00:00:00,59664,
353,2021-01-02 00:00:00,,
354,2021-01-03 00:00:00,59664,
355,2021-01-04 00:00:00,,
356,2021-01-05 00:00:00,,
357,2021-01-06 00:00:00,,
358,2021-01-07 00:00:00,,
359,2021-01-08 00:00:00,,
360,2021-01-09 00:00:00,,
361,2021-01-10 00:00:00,,
362,2021-01-11 00:00:00,,
363,2021-01-12 00:00:00,,
364,2021-01-13 00:00:00,,
