,Date,Outward,Return
268,2020-10-09 00:00:00,106501,35997
269,2020-10-10 00:00:00,39602,76003
270,2020-10-11 00:00:00,61399,35997
271,2020-10-12 00:00:00,103208,45627
272,2020-10-13 00:00:00,46919,33047
273,2020-10-14 00:00:00,34403,
274,2020-10-15 00:00:00,370020,77482
275,2020-10-16 00:00:00,371310,88315
276,2020-10-17 00:00:00,34913,
277,2020-10-18 00:00:00,104452,35997
278,2020-10-19 00:00:00,34913,32808
279,2020-10-20 00:00:00,31297,35985
280,2020-10-21 00:00:00,34913,32832
281,2020-10-22 00:00:00,71732,35997
282,2020-10-23 00:00:00,27346,35997
283,2020-10-24 00:00:00,35208,88219
284,2020-10-25 00:00:00,396610,30523
285,2020-10-26 00:00:00,,
286,2020-10-27 00:00:00,69262,28740
287,2020-10-28 00:00:00,,30261
288,2020-10-29 00:00:00,71988,60130
289,2020-10-30 00:00:00,59265,
290,2020-10-31 00:00:00,26247,28557
291,2020-11-01 00:00:00,61251,100650
292,2020-11-02 00:00:00,61648,30573
293,2020-11-03 00:00:00,69625,29054
294,2020-11-04 00:00:00,60963,46775
295,2020-11-05 00:00:00,61648,46775
296,2020-11-06 00:00:00,32577,29073
297,2020-11-07 00:00:00,32818,29073
298,2020-11-08 00:00:00,32697,100852
299,2020-11-09 00:00:00,30601,29257
300,2020-11-10 00:00:00,30638,29257
301,2020-11-11 00:00:00,61251,37434
302,2020-11-12 00:00:00,61648,37617
303,2020-11-13 00:00:00,32818,44646
304,2020-11-14 00:00:00,37898,68788
305,2020-11-15 00:00:00,,35952
306,2020-11-16 00:00:00,61189,46682
307,2020-11-17 00:00:00,31118,
308,2020-11-18 00:00:00,,44646
309,2020-11-19 00:00:00,372275,44646
310,2020-11-20 00:00:00,265369,100783
311,2020-11-21 00:00:00,34297,45817
312,2020-11-22 00:00:00,61355,
313,2020-11-23 00:00:00,61400,44600
314,2020-11-24 00:00:00,61189,31367
315,2020-11-25 00:00:00,,100728
316,2020-11-26 00:00:00,372549,44415
317,2020-11-27 00:00:00,61189,32238
318,2020-11-28 00:00:00,29185,58902
319,2020-11-29 00:00:00,61251,35149
320,2020-11-30 00:00:00,29118,94001
321,2020-12-01 00:00:00,270745,45876
322,2020-12-02 00:00:00,34166,100728
323,2020-12-03 00:00:00,37897,100825
324,2020-12-04 00:00:00,37580,100790
325,2020-12-05 00:00:00,37617,44600
326,2020-12-06 00:00:00,40718,93311
327,2020-12-07 00:00:00,397231,31702
328,2020-12-08 00:00:00,37753,
329,2020-12-09 00:00:00,37897,100790
330,2020-12-10 00:00:00,61293,48535
331,2020-12-11 00:00:00,61251,42313
332,2020-12-12 00:00:00,61355,47239
