,Date,Outward,Return
228,2020-08-30 00:00:00,376086,63567
229,2020-08-31 00:00:00,26725,
230,2020-09-01 00:00:00,25821,41583
231,2020-09-02 00:00:00,22091,24423
232,2020-09-03 00:00:00,65259,
233,2020-09-04 00:00:00,,17463
234,2020-09-05 00:00:00,,16280
235,2020-09-06 00:00:00,,
236,2020-09-07 00:00:00,26960,
237,2020-09-08 00:00:00,30842,16576
238,2020-09-09 00:00:00,26725,41530
239,2020-09-10 00:00:00,26734,22930
240,2020-09-11 00:00:00,26960,43169
241,2020-09-12 00:00:00,,302466
242,2020-09-13 00:00:00,64705,22930
243,2020-09-14 00:00:00,,63733
244,2020-09-15 00:00:00,65100,64293
245,2020-09-16 00:00:00,64844,
246,2020-09-17 00:00:00,21797,25549
247,2020-09-18 00:00:00,21847,
248,2020-09-19 00:00:00,372150,22937
249,2020-09-20 00:00:00,21896,63732
250,2020-09-21 00:00:00,26734,41271
251,2020-09-22 00:00:00,33852,
252,2020-09-23 00:00:00,,41586
253,2020-09-24 00:00:00,26960,
254,2020-09-25 00:00:00,28211,43056
255,2020-09-26 00:00:00,28352,44941
256,2020-09-27 00:00:00,28460,25127
257,2020-09-28 00:00:00,26756,
258,2020-09-29 00:00:00,,
259,2020-09-30 00:00:00,28213,22879
260,2020-10-01 00:00:00,26801,22879
261,2020-10-02 00:00:00,,
262,2020-10-03 00:00:00,,
263,2020-10-04 00:00:00,,302613
264,2020-10-05 00:00:00,,
265,2020-10-06 00:00:00,,
266,2020-10-07 00:00:00,,
267,2020-10-08 00:00:00,,
268,2020-10-09 00:00:00,,
269,2020-10-10 00:00:00,,
270,2020-10-11 00:00:00,26887,
271,2020-10-12 00:00:00,34379,
272,2020-10-13 00:00:00,26722,
273,2020-10-14 00:00:00,,22891
274,2020-10-15 00:00:00,26722,22937
275,2020-10-16 00:00:00,65206,84620
276,2020-10-17 00:00:00,74491,26094
277,2020-10-18 00:00:00,,22937
278,2020-10-19 00:00:00,26887,
279,2020-10-20 00:00:00,,
280,2020-10-21 00:00:00,73034,22891
281,2020-10-22 00:00:00,,22937
282,2020-10-23 00:00:00,,22875
283,2020-10-24 00:00:00,188636,22921
284,2020-10-25 00:00:00,,
285,2020-10-26 00:00:00,,
286,2020-10-27 00:00:00,,41081
287,2020-10-28 00:00:00,,
288,2020-10-29 00:00:00,,
289,2020-10-30 00:00:00,26722,37603
290,2020-10-31 00:00:00,22916,22921
291,2020-11-01 00:00:00,21697,22937
292,2020-11-02 00:00:00,37146,
293,2020-11-03 00:00:00,,22937
294,2020-11-04 00:00:00,,63584
295,2020-11-05 00:00:00,,
296,2020-11-06 00:00:00,,
297,2020-11-07 00:00:00,,
298,2020-11-08 00:00:00,,
299,2020-11-09 00:00:00,,
300,2020-11-10 00:00:00,67817,
301,2020-11-11 00:00:00,26722,
302,2020-11-12 00:00:00,,
303,2020-11-13 00:00:00,,
304,2020-11-14 00:00:00,26887,22879
305,2020-11-15 00:00:00,,84451
306,2020-11-16 00:00:00,,26700
307,2020-11-17 00:00:00,,30165
308,2020-11-18 00:00:00,21719,
309,2020-11-19 00:00:00,,
310,2020-11-20 00:00:00,26960,22937
311,2020-11-21 00:00:00,,
312,2020-11-22 00:00:00,,
313,2020-11-23 00:00:00,26756,24536
314,2020-11-24 00:00:00,26960,
315,2020-11-25 00:00:00,26756,22875
316,2020-11-26 00:00:00,,22930
317,2020-11-27 00:00:00,,
318,2020-11-28 00:00:00,,22921
319,2020-11-29 00:00:00,26722,64000
320,2020-11-30 00:00:00,,22875
321,2020-12-01 00:00:00,26857,22879
322,2020-12-02 00:00:00,,
323,2020-12-03 00:00:00,,
